"","time","sumi_death2","sumi_death2u","sumi_death2l","sumi_fed2","sumi_fed2l","sumi_fed2u"
"126",126,0.625290713758342,0.73886874972003,0.603725638194117,0.0740894244125121,0.0833492237305234,0.0651131193202575
"127",127,0.625329235874174,0.738623832271908,0.603543023413923,0.0749374261391188,0.0843204399828484,0.065843253611537
"128",128,0.625357531782841,0.738370060120954,0.603349167723431,0.0757927685185567,0.0853001760116339,0.0665795749462428
"129",129,0.625375603993089,0.738107456728403,0.603144082988094,0.076655479516557,0.0862884628642718,0.0673221068289887
"130",130,0.62538345551364,0.73783604565476,0.602927781740823,0.0775255866870107,0.0872853310257405,0.0680708724597359
"131",131,0.625381089852973,0.737555850558962,0.602700277181928,0.0784031171644712,0.0882908104083238,0.068825894728653
"132",132,0.625368511019077,0.737266895197597,0.602461583179003,0.0792880976566777,0.0893049303413583,0.0695871962109978
"133",133,0.625345723519203,0.736969203424166,0.602211714266775,0.0801805544371015,0.090327719561015,0.0703547991620229
"134",134,0.625312732359596,0.736662799188395,0.601950685646911,0.0810805133375178,0.0913592062001172,0.0711287255119076
"135",135,0.625269543045208,0.736347706535599,0.601678513187771,0.081987999740604,0.0923994177779981,0.0719089968607162
"136",136,0.625216161579409,0.736023949606082,0.601395213424122,0.0829030385725685,0.0934483811904035,0.0726956344733839
"137",137,0.625152594463673,0.735691552634593,0.601100803556807,0.0838256542958107,0.09450612269944,0.073488659274734
"138",138,0.625078848697255,0.735350539949825,0.600795301452361,0.0847558709016159,0.0955726679235774,0.0742880918445241
"139",139,0.624994931776853,0.73500093597396,0.600478725642582,0.085693711902886,0.0966480418277029,0.0750939524125263
"140",140,0.62490085169625,0.73464276522225,0.600151095324055,0.0866392003269097,0.0977322687132364,0.07590626085364
"141",141,0.62479661694595,0.734276052302656,0.599812430357622,0.087592358708173,0.0988253722083066,0.0767250366830404
"142",142,0.624682236512792,0.733900821915515,0.59946275126781,0.0885532090812138,0.0999273752579944,0.0775502990513639
"143",143,0.624557719879551,0.733517098853263,0.599102079242198,0.0895217729735224,0.101038300114645,0.07838206673993
"144",144,0.624423077024525,0.733124908000186,0.598730436130738,0.0904980713984888,0.102158168328256,0.0792203581560038
"145",145,0.624278318421099,0.732724274332223,0.598347844445025,0.0914821248484022,0.103287000736939,0.0800651913280978
"146",146,0.624123455037306,0.732315222916804,0.59795432735751,0.092473953287502,0.104424817457467,0.0809165839013167
"147",147,0.623958498335358,0.731897778912726,0.597549908700658,0.0934735761450835,0.105571637875904,0.0817745531327446
"148",148,0.623783460271169,0.731471967570071,0.597134612966058,0.0944810123086629,0.106727480638325,0.0826391158868766
"149",149,0.623598353293856,0.731037814230157,0.596708465303469,0.0954962801171994,0.107892363641628,0.0835102886310966
"150",150,0.62340319034523,0.730595344325537,0.596271491519813,0.0965193973543813,0.10906630402444,0.084388087431202
"151",151,0.623197984859259,0.730144583380018,0.595823718078114,0.0975503812419751,0.110249318158133,0.0852725279469766
"152",152,0.622982750761522,0.729685557008729,0.595365172096369,0.0985892484332425,0.111441421637928,0.0861636254278132
"153",153,0.62275750246864,0.729218290918219,0.594895881346374,0.0996360150064249,0.112642629274125,0.0870613947083869
"154",154,0.622522254887692,0.728742810906589,0.594415874252476,0.1006906964583,0.11385295508343,0.087965850204381
"155",155,0.622277023415607,0.728259142863656,0.593925179890277,0.101753307697813,0.115072412280408,0.0888770059082651
"156",156,0.622021823938539,0.727767312771152,0.593423827985263,0.102823863039778,0.116301013269046,0.0897948753851293
"157",157,0.621756672831229,0.727267346702955,0.592911848911382,0.103902376198668,0.11753876963445,0.0907194717685724
"158",158,0.621481586956331,0.726759270825348,0.592389273689557,0.104988860282473,0.11878569213466,0.0916508077566487
"159",159,0.621196583663735,0.726243111397309,0.591856133986126,0.10608332778665,0.1200417906926,0.0925888956078711
"160",160,0.620901680789858,0.725718894770833,0.591312462111229,0.107185790588152,0.121307074388159,0.0935337471372749
"161",161,0.620596896656915,0.725186647391281,0.590758291017122,0.108296259939549,0.122581551450416,0.0944853737125414
"162",162,0.620282250072172,0.724646395797752,0.590193654296427,0.109414746463232,0.123865229249999,0.0954437862501826
"163",163,0.619957760327174,0.724098166623491,0.589618586180313,0.110541260145712,0.125158114291597,0.0964089952117889
"164",164,0.619623447196948,0.723541986596315,0.589033121536613,0.111675810332016,0.126460212206614,0.0973810106003405
"165",165,0.619279330939191,0.722977882539069,0.588437295867864,0.11281840572017,0.127771527745985,0.0983598419565833
"166",166,0.618925432293422,0.722405881370104,0.587831145309288,0.113969054355786,0.129092064773132,0.0993454983554704
"167",167,0.618561772480119,0.721826010103778,0.587214706626693,0.115127763626748,0.130421826257103,0.100337988402671
"168",168,0.618188373199829,0.721238295850984,0.586588017214307,0.116294540258001,0.131760814265848,0.101337320231145
"169",169,0.617805256632252,0.720642765819693,0.585951115092542,0.117469390306436,0.133109029959685,0.102343501497793
"170",170,0.617412445435299,0.720039447315527,0.585304038905681,0.118652319155896,0.134466473584921,0.103356539380164
"171",171,0.617009962744126,0.719428367742342,0.584646827919493,0.119843331512274,0.135833144467651,0.104376440573245
"172",172,0.616597832170135,0.718809554602838,0.583979522018774,0.121042431398732,0.137209041007737,0.10540321128632
"173",173,0.616176077799956,0.718183035499187,0.583302161704815,0.122249622151027,0.138594160672959,0.106436857239895
"174",174,0.615744724194398,0.71754883813367,0.582614788092789,0.123464906412954,0.139988499993361,0.107477383662704
"175",175,0.615303796387367,0.716906990309346,0.581917442909067,0.124688286131902,0.14139205455577,0.108524795288786
"176",176,0.614853319884761,0.716257519930722,0.581210168488457,0.125919762554526,0.142804818998515,0.109579096354637
