"","time","acte_death2","acte_death2u","acte_death2l","acte_fed2","acte_fed2l","acte_fed2u"
"140",140,0.656728420145481,0.683173850495285,0.628498454013583,0.0695976340314645,0.0751677090576197,0.0639818768705188
"141",141,0.655378652109668,0.682045751341473,0.626925260275612,0.0705563692801854,0.0761981647684421,0.0648654544387695
"142",142,0.654015920893067,0.680904885534786,0.625339233532129,0.0715255688968176,0.0772396146506789,0.0657588445934102
"143",143,0.652640300610479,0.679751305835848,0.623740474241694,0.0725052953449443,0.078292117113332,0.0666621112838608
"144",144,0.651251866401408,0.678585065832232,0.622129084049059,0.0734956104888406,0.0793557297789371,0.0675753180294113
"145",145,0.649850694428431,0.677406219939965,0.620505165777822,0.074496575572735,0.0804305094616486,0.0684985279005223
"146",146,0.648436861875322,0.676214823404903,0.618868823422727,0.0755082511999782,0.081516512145307,0.0694318034999898
"147",147,0.647010446944939,0.675010932303976,0.617220162141601,0.0765306973121273,0.0826137929614963,0.070375206943979
"148",148,0.645571528856871,0.673794603546295,0.615559288246933,0.0775639731679516,0.083722406167602,0.0713287998429336
"149",149,0.644120187844834,0.67256589487412,0.613886309197082,0.0786081373223693,0.0848424051248782,0.0722926432823657
"150",150,0.642656505153824,0.671324864863691,0.61220133358713,0.0796632476053222,0.0859738422765352,0.0732667978035332
"151",151,0.641180563037016,0.670071572925908,0.610504471139365,0.0807293611005965,0.0871167691258554,0.0742513233840098
"152",152,0.639692444752401,0.668806079306863,0.608795832693398,0.0818065341245979,0.0882712362143489,0.0752462794181549
"153",153,0.638192234559181,0.667528445088223,0.607075530195916,0.0828948222050897,0.0894372930999582,0.0762517246974891
"154",154,0.636680017713886,0.666238732187454,0.605343676690065,0.0839942800599023,0.0906149883353224,0.0772677173909827
"155",155,0.635155880466246,0.664937003357893,0.603600386304474,0.0851049615756227,0.0918043694461115,0.0782943150252633
"156",156,0.633619910054783,0.663623322188647,0.601845774241907,0.086226919786272,0.0930054829094396,0.0793315744647497
"157",157,0.632072194702145,0.66229775310434,0.600079956767547,0.0873602068519823,0.0942183741323697,0.0803795518917195
"158",158,0.63051282361017,0.660960361364685,0.598303051196924,0.0885048740376784,0.0954430874305193,0.0814383027863169
"159",159,0.628941886954675,0.659611213063889,0.596515175883474,0.0896609716917767,0.0966796660067765,0.0825078819065089
"160",160,0.627359475879978,0.658250375129879,0.594716450205732,0.0908285492249094,0.0979281519301399,0.083588343267997
"161",161,0.625765682493138,0.656877915323363,0.592906994554174,0.0920076550886826,0.0991885861146901,0.084679740124092
"162",162,0.624160599857928,0.655493902236699,0.591086930317685,0.0931983367544796,0.100461008298705,0.0857821249455597
"163",163,0.622544321988524,0.654098405292592,0.589256379869688,0.094400640692317,0.101745457023931,0.0868955494004456
"164",164,0.620916943842917,0.652691494742603,0.587415466553898,0.0956146123497657,0.103041969615017,0.088020064333887
"165",165,0.619278561316048,0.651273241665472,0.585564314669739,0.096840296130944,0.104350582159126,0.0891557197479191
"166",166,0.617629271232659,0.649843717965251,0.583703049457401,0.0980777353755951,0.105671329485735,0.0903025647812865
"167",167,0.615969171339866,0.648402996369249,0.581831797082553,0.0993269723382576,0.107004245146628,0.0914606476892642
"168",168,0.614298360299448,0.646951150425779,0.579950684620714,0.10058804816754,0.108349361396107,0.0926300158235012
"169",169,0.612616937679856,0.645488254501712,0.578059840041276,0.101861002885507,0.10970670917141,0.0938107156118915
